Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Mingenew,55530,WA,200,-,-,-,-,-,-,-,-,-,-
Moora,55600,WA,900,<100,0.049,0.77,0.159,0.071,100,0.599,100,0.036,<100
Morawa,55670,WA,200,-,-,-,-,-,-,-,-,-,-
Mosman Park,55740,WA,3700,200,0.058,0.413,0.503,0.084,200,0.478,400,0.055,<100
Mount Magnet,55810,WA,200,-,-,-,-,-,-,-,-,-,-
Mount Marshall,55880,WA,200,-,-,-,-,-,-,-,-,-,-
Mukinbudin,55950,WA,200,-,-,-,-,-,-,-,-,-,-
Mundaring,56090,WA,13900,600,0.04,0.584,0.224,0.192,200,0.225,800,0.095,<100
Murchison,56160,WA,0,-,-,-,-,-,-,-,-,-,-
Murray,56230,WA,6900,600,0.081,0.647,0.199,0.153,100,0.139,800,0.118,<100
Nannup,56300,WA,700,100,0.092,0.398,0.247,0.355,negligible,-,100,-,<100
Narembeen,56370,WA,300,-,-,-,-,-,-,-,-,-,-
Narrogin,56460,WA,2000,100,0.044,0.558,0.426,0.016,200,0.658,100,0.031,<100
Nedlands,56580,WA,7700,200,0.032,0.321,0.351,0.328,200,0.439,400,0.059,<100
Ngaanyatjarraku,56620,WA,400,-,-,-,-,-,-,-,-,-,-
Northam,56730,WA,4400,200,0.049,0.626,0.368,0.006,300,0.544,300,0.041,<100
Northampton,56790,WA,1300,100,0.059,0.343,0.612,0.045,negligible,-,100,-,<100
Nungarin,56860,WA,100,-,-,-,-,-,-,-,-,-,-
Peppermint Grove,56930,WA,500,<100,0.057,0,0.858,0.142,negligible,-,<100,-,<100
Perenjori,57000,WA,200,-,-,-,-,-,-,-,-,-,-
Perth,57080,WA,13100,800,0.064,0.563,0.371,0.066,600,0.407,1400,0.064,<100
Pingelly,57140,WA,500,<100,0.067,0.964,0,0.036,negligible,-,<100,-,<100
Plantagenet,57210,WA,2200,200,0.071,0.532,0.441,0.027,100,0.319,200,0.069,<100
Port Hedland,57280,WA,5600,100,0.011,0.188,0.559,0.253,800,0.93,200,0.013,<100
Quairading,57350,WA,400,-,-,-,-,-,-,-,-,-,-
Ravensthorpe,57420,WA,800,100,0.102,0.574,0.393,0.033,negligible,-,100,-,<100
Rockingham,57490,WA,50000,3500,0.07,0.733,0.221,0.046,1000,0.222,5300,0.096,200-300
Sandstone,57630,WA,0,-,-,-,-,-,-,-,-,-,-
Serpentine-Jarrahdale,57700,WA,10500,700,0.067,0.52,0.115,0.364,negligible,-,1000,-,<100
Shark Bay,57770,WA,400,-,-,-,-,-,-,-,-,-,-
South Perth,57840,WA,18200,700,0.041,0.553,0.44,0.008,800,0.514,1300,0.051,<100
Stirling,57910,WA,93300,5000,0.053,0.683,0.303,0.014,4000,0.446,8500,0.059,400-500
Subiaco,57980,WA,7800,400,0.052,0.423,0.52,0.057,300,0.458,700,0.057,<100
Swan,58050,WA,54300,3000,0.054,0.719,0.223,0.059,1700,0.368,4800,0.069,200-300
Tammin,58190,WA,200,-,-,-,-,-,-,-,-,-,-
Three Springs,58260,WA,200,-,-,-,-,-,-,-,-,-,-
Toodyay,58330,WA,1900,100,0.042,0.666,0.316,0.018,negligible,-,100,-,<100
Trayning,58400,WA,100,-,-,-,-,-,-,-,-,-,-
Upper Gascoyne,58470,WA,100,-,-,-,-,-,-,-,-,-,-
Victoria Park,58510,WA,16000,800,0.049,0.594,0.4,0.007,900,0.532,1400,0.049,<100
Victoria Plains,58540,WA,300,-,-,-,-,-,-,-,-,-,-
Vincent,58570,WA,16000,700,0.043,0.538,0.396,0.067,500,0.413,1200,0.063,<100
Wagin,58610,WA,700,100,0.084,0.217,0.757,0.027,negligible,-,100,-,<100
Wandering,58680,WA,200,-,-,-,-,-,-,-,-,-,-
Wanneroo,58760,WA,73100,4400,0.061,0.711,0.222,0.067,1700,0.277,6900,0.084,300-400
Waroona,58820,WA,1600,100,0.078,0.759,0.195,0.046,negligible,-,200,-,<100
West Arthur,58890,WA,300,-,-,-,-,-,-,-,-,-,-
Westonia,59030,WA,100,-,-,-,-,-,-,-,-,-,-
Wickepin,59100,WA,300,-,-,-,-,-,-,-,-,-,-
Williams,59170,WA,400,-,-,-,-,-,-,-,-,-,-
Wiluna,59250,WA,100,-,-,-,-,-,-,-,-,-,-
Wongan-Ballidu,59310,WA,600,<100,0.052,0,0.902,0.098,negligible,-,<100,-,<100
Woodanilling,59320,WA,200,-,-,-,-,-,-,-,-,-,-
Wyalkatchem,59330,WA,200,-,-,-,-,-,-,-,-,-,-
Wyndham-East Kimberley,59340,WA,2500,100,0.056,0.259,0.086,0.655,700,0.836,300,0.019,<100
Yalgoo,59350,WA,100,-,-,-,-,-,-,-,-,-,-
Yilgarn,59360,WA,400,-,-,-,-,-,-,-,-,-,-
